ma_san_pham,ten_san_pham,avg_so_sao,total_positive,total_negative,most_popular_positive_word,most_popular_negative_word,mo_ta
100100001,Sáp Dưỡng Ẩm Vaseline Original Healing Jelly 49g,4.375,7,1,"tốt, thích",kém,"Sáp Dưỡng Ẩm Vaseline Original Healing Jelly 49g là sản phẩm dưỡng ẩm đa chức năng đến từ thương hiệu Vaseline nổi tiếng của Mỹ, được làm từ 100% dầu khoáng nguyên chất tinh khiết giúp bảo vệ và khoá ẩm cho làn da, hỗ trợ làm lành các vết thương và cải thiện tình trạng da khô thô ráp, nứt nẻ, bong tróc. Sản phẩm có thể sử dụng cho nhiều vùng da khác nhau trên cơ thể như bàn tay, bàn chân, khuỷu tay, đầu gối...
  Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng."
100140034,Mặt Nạ Ngủ Laneige Dưỡng Ẩm & Tăng Khả Năng Tự Vệ Da 70ml,5.0,1,0,"tốt, mềm_mịn",,"Mặt Nạ Ngủ LANEIGE Water Sleeping Mask_EX 2021 là phiên bản cải tiến mới nhất của dòng mặt nạ ngủ nổi tiếng Water Sleeping Mask đến từ thương hiệu mỹ phẩm cao cấp Laneige của Hàn Quốc, với công nghệ Sleeping Micro Biome™ & Pro-Biotics Complex giúp dưỡng ẩm và tăng khả năng tự vệ của da, hỗ trợ phục hồi sự cân bằng hệ vi sinh trên da trong suốt đêm dài, giúp da tươi mới, căng tràn sức sống hơn mỗi khi thức dậy.
 

*Lưu ý: Tác dụng có thể khác nhau tuỳ cơ địa của người dùng
Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng."
100140042,Gel Dưỡng Ẩm Nature Republic Chiết Xuất Lô Hội 300ml,4.9,10,0,"rẻ, tốt, chất_lượng, rất_đáng, thích",,"Gel Dưỡng Ẩm Nature Republic Chiết Xuất Lô Hội 300ml là dòng gel dưỡng đa năng đến từ thương hiệu Nature Republic của Hàn Quốc, chứa 92% tinh chất lô hội có tác dụng làm mát da, cung cấp nước cho da. Đồng thời bổ sung Vitamin và các dưỡng chất giữ ẩm giúp làm mát và làm mềm dịu da. Sử dụng Nature Republic Soothing & Moisture Aloe Vera 92% Soothing Gel giúp bạn có được làn da mịn màng, tươi trẻ.
 
Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng."
100150041,"Xịt Khoáng Vichy Làm Dịu, Củng Cố & Cấp Ẩm Cho Da 50ml",3.75,3,1,phục_hồi,,"Xịt Khoáng Dưỡng Da VICHY Eau Thermale Spa Water là xịt khoáng đến từ thương hiệu dược mỹ phẩm Vichy, với 15 khoáng chất quý hiếm bao gồm sắt, Potassium, canxi , manganese, silicon,.. được công nhận bởi tác dụng giúp hỗ trợ làm dịu, củng cố và làm đẹp da hiệu quả, chống oxy hóa, ngăn ngừa da lão hóa và hỗ trợ kích hoạt quá trình tái tạo da. Sản phẩm hiện đã có mặt tại Hasaki với các dung tích:
50ml
150ml
300ml
 





Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng."
100150058,Xịt Khoáng Evoluderm Cấp Nước & Làm Dịu Da 400ml,4.357142857142857,23,2,"ổn, thích, tốt, rẻ, cao_cấp",dị_ứng,"Xịt Khoáng Cung Cấp Nước Evoluderm Atomiseur Eau Pure thuộc thương hiệu Evoluderm được sản xuất, đóng gói tại Pháp đạt tiêu chuẩn GMP và ISO 9002. Với thành phần chính là nước tinh khiết nên xịt khoáng Evoluderm đảm bảo lành tính và không gây kích ứng với các loại da, thậm chí cả những người sở hữu làn da mỏng manh, nhạy cảm. Sản phẩm xịt khoáng có thể sử dụng cho cả mặt và toàn thân.
 





Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng."
100150059,Xịt Khoáng Evoluderm Cấp Nước & Làm Dịu Da 150ml,4.407407407407407,23,2,"ổn, thích, tốt, rẻ, cao_cấp",dị_ứng,"Xịt Khoáng Cung Cấp Nước Evoluderm Atomiseur Eau Pure thuộc thương hiệu Evoluderm được sản xuất, đóng gói tại Pháp đạt tiêu chuẩn GMP và ISO 9002. Với thành phần chính là nước tinh khiết nên xịt khoáng Evoluderm đảm bảo lành tính và không gây kích ứng với các loại da, thậm chí cả những người sở hữu làn da mỏng manh, nhạy cảm. Sản phẩm xịt khoáng có thể sử dụng cho cả mặt và toàn thân.
 





Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng."
100150065,"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 50ml",5.0,8,0,"tốt, rất_tốt, thích, rất_thích, nhanh",khó_chịu,"Xịt Khoáng Avène Thermal Spring Water là dòng sản phẩm nước xịt khoáng nổi tiếng từ thương hiệu dược mỹ phẩm Eau Thermale Avène  của Pháp. Thành phần chính là nước khoáng thiên nhiên được lấy từ dòng suối khoáng Sanite-Odile nổi tiếng, giàu khoáng chất và vi lượng thiên nhiên quý hiếm, với đặc tính làm dịu, chống oxy hóa và giúp chữa lành các thương tổn trên da. Sản phẩm dạng xịt phun sương, giúp cấp nước và làm dịu da tức thì, giảm kích ứng hiệu quả, giúp da của bạn luôn mềm mịn tự nhiên.
 
Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng."
100150066,"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 150ml",5.0,8,0,"tốt, rất_tốt, nhanh, thích, rất_thích",khó_chịu,"Xịt Khoáng Avène Thermal Spring Water là dòng sản phẩm nước xịt khoáng nổi tiếng từ thương hiệu dược mỹ phẩm Eau Thermale Avène  của Pháp. Thành phần chính là nước khoáng thiên nhiên được lấy từ dòng suối khoáng Sanite-Odile nổi tiếng, giàu khoáng chất và vi lượng thiên nhiên quý hiếm, với đặc tính làm dịu, chống oxy hóa và giúp chữa lành các thương tổn trên da. Sản phẩm dạng xịt phun sương, giúp cấp nước và làm dịu da tức thì, giảm kích ứng hiệu quả, giúp da của bạn luôn mềm mịn tự nhiên.
 
*Lưu ý: Tác dụng có thể khác nhau tuỳ cơ địa của người dùng
Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng."
100150067,"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 300ml",5.0,8,0,"tốt, rất_tốt, nhanh, thích, rất_thích",khó_chịu,"Xịt Khoáng Avène Thermal Spring Water là dòng sản phẩm nước xịt khoáng nổi tiếng từ thương hiệu dược mỹ phẩm Eau Thermale Avène  của Pháp. Thành phần chính là nước khoáng thiên nhiên được lấy từ dòng suối khoáng Sanite-Odile nổi tiếng, giàu khoáng chất và vi lượng thiên nhiên quý hiếm, với đặc tính làm dịu, chống oxy hóa và giúp chữa lành các thương tổn trên da. Sản phẩm dạng xịt phun sương, giúp cấp nước và làm dịu da tức thì, giảm kích ứng hiệu quả, giúp da của bạn luôn mềm mịn tự nhiên.
 
*Lưu ý: Tác dụng có thể khác nhau tuỳ cơ địa của người dùng
Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng."
100150091,Xịt Khoáng Evian Cấp Ẩm Và Làm Dịu Da 50ml,4.5,3,0,"tốt, thích, nổi_trội",,"Xịt Khoáng Evian Cấp Ẩm Và Làm Dịu Da là sản phẩm xịt khoáng đến từ thương hiệu mỹ phẩm Evian của Pháp, thành phần nước khoáng từ tự nhiên giúp làm mát tức thì, cung cấp độ ẩm, dưỡng da mềm mại hơn đồng thời giữ cố định lớp trang điểm mang đến làn da tươi tắn, rạng ngời.
Xịt Khoáng Evian Facial Spray chứa thành phần nước khoáng được lấy trực tiếp từ nguồn nước ở dãy Alps có cao 850m so với mực nước biển, nơi tuyết tan và mưa được ngấm qua những tảng đá. Viện Y học Pháp đã nghiên cứu và phát hiện ra nguồn nước khoáng này chứa rất nhiều khoáng chất có lợi cho sức khỏe con người không ở đâu có, đặc biệt là luôn cân bằng không thay đổi trong bất cứ nhiệt độ nào.
  Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng."
