ma_san_pham,text,text_token,label
308500015,dễ_dàng thoải_mái tột_độ,dễ_dàng thoải_mái tột_độ,2
422216594,thích,thích,2
204100075,sạch tốt loại_bỏ bẩn thừa tiết_kiệm kích_ứng sạch mà_còn dịu giúp giảm,sạch tốt loại_bỏ bẩn thừa tiết_kiệm kích_ứng sạch mà_còn dịu giúp giảm,2
422208977,tốt sạch đáng,tốt sạch đáng,2
204100019,chân_ái nổi,chân_ái nổi,2
100220035,đổi kèm tặng trừ,đổi kèm tặng trừ,2
422216354,ứng,ứng,2
100250032,tư_vấn đẹp thôi_á dán trả_lời tè không_như tư_vấn,tư_vấn đẹp thôi_á dán trả_lời tè không_như tư_vấn,2
422205163,mát tột_dộ,mát tột_dộ,2
249500019,không_đánh chỉnh làm_lót phê hợp học dày,không_đánh chỉnh_làm_lót phê_hợp học dày,2
422209718,sánh tốt thoải_mái bàn_cãi,sánh tốt thoải_mái bàn_cãi,2
413400001,mỏng nhũn liền tưa đáp_ứng tốt,mỏng nhũn liền tưa đáp_ứng tốt,0
422204884,tốt sạch thích không_có châm chích trôi chùi sạch lợi,tốt sạch thích không_có châm chích trôi chùi sạch_lợi,2
422208183,bết,bết,2
100230056,tốt,tốt,2
422205637,rít đắp tốt đắp,rít đắp tốt đắp,2
351700026,nhẹ ứng mỏng tí_í giùm mỏi không_,nhẹ ứng mỏng tí_í giùm mỏi không_,2
204900056,sạch không_bị sạch,sạch không_bị sạch,2
422208328,làn hiệu_quả trông,làn hiệu_quả trông,2
357100011,rẻ hợp đơn_giản sạch thơm cân_nhắc mịn,rẻ_hợp đơn_giản sạch thơm cân_nhắc mịn,2
422203300,viền_sắc rát_mặt dễ xước không_lại,viền_sắc rát_mặt dễ xước không_lại,0
386000044,chuẩn đắp thích mướt mịn hẳn,chuẩn đắp thích mướt mịn hẳn,2
422204388,ưng tệp dễ tán trôi đổ,ưng tệp dễ_tán trôi đổ,2
422205673,không_bị sạch hẳn cũ,không_bị sạch hẳn cũ,2
343100024,một_chút mỏng nhẹ không_nặng,một_chút mỏng nhẹ không_nặng,2
308500018,quản_trị_viên,quản_trị_viên,2
204100019,dễ_chịu mát hợp_lý,dễ_chịu mát hợp_lý,2
422204167,tách thời_tiết lạnh ổn quây dưỡng_ổn,tách thời_tiết lạnh ổn quây dưỡng_ổn,2
422212331,tốt chắn chắn tưa mềm mịn,tốt chắn chắn tưa mềm mịn,2
248700035,thắm,thắm,1
253900006,cực_cực hài_lòng tốt không_gây khó_chịu dễ tốt,cực_cực hài_lòng tốt không_gây khó_chịu dễ tốt,2
